,0,1,2,3,4,5,6,7,8,9,10,11,12,13
210,milan,Cutrone P.,Att,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
211,milan,Higuain G.,Att,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
212,napoli,Karnezis O.,Por,6,"
		  			-1
		  ",-,-,-,-,-,-,5,2018-20,1
213,napoli,Koulibaly K.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
214,napoli,Albiol R.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
215,napoli,Mario Rui S.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
216,napoli,Hysaj E.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
217,napoli,Allan M.,Cen,7,"
-		  ",1,-,-,-,-,-,8,2018-20,1
218,napoli,Hamsik M.,Cen,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
219,napoli,Zielinski P.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2018-20,1
220,napoli,Callejon J.,Tre,7,"
-		  ",1,-,-,-,-,-,8,2018-20,1
221,napoli,Insigne L.,Tre,7.5,"
1		  ",-,-,-,-,-,-,11,2018-20,1
222,napoli,Milik A.,Att,7,"
1		  ",-,-,-,-,-,-,10,2018-20,1
223,napoli,Rog M.,Cen,-,"
-		  ",-,-,-,-,-,-,-,2018-20,1
224,napoli,Diawara A.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
225,napoli,Mertens D.,Tre,-,"
-		  ",-,-,-,-,-,-,-,2018-20,1
226,parma,Sepe L.,Por,6,"
		  			-2
		  ",-,-,-,-,-,-,4,2018-20,1
227,parma,Alves B.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
228,parma,Gobbi M.,Dif,5.5,"
-		  ",-,-,-,-,1,-,5,2018-20,1
229,parma,Iacoponi S.,Dif,5.5,"
-		  ",-,-,-,-,1,-,5,2018-20,1
230,parma,Gagliolo R.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
231,parma,Barilla A.,Cen,6.5,"
1		  ",-,-,-,-,-,-,10.5,2018-20,1
232,parma,Stulac L.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
233,parma,Grassi A.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
234,parma,Siligardi L.,Tre,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
235,parma,Di Gaudio A.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
236,parma,Inglese R.,Att,7,"
1		  ",-,-,-,-,-,-,10,2018-20,1
237,parma,Rigoni L.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
238,parma,Biabiany J.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
239,parma,Ceravolo F.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
240,roma,Olsen R.,Por,6,"
		  			-
		  ",-,-,-,-,-,-,6,2018-20,1
241,roma,Florenzi A.,Dif,6.5,"
-		  ",-,-,-,-,1,-,6,2018-20,1
242,roma,Manolas K.,Dif,6.5,"
-		  ",-,-,-,-,-,-,6.5,2018-20,1
243,roma,Kolarov A.,Dif,7,"
-		  ",-,-,-,-,-,-,7,2018-20,1
244,roma,Fazio F.,Dif,5.5,"
-		  ",-,-,-,-,1,-,5,2018-20,1
245,roma,Strootman K.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
246,roma,Pastore J.,Cen,4.5,"
-		  ",-,-,-,-,-,-,4.5,2018-20,1
247,roma,De Rossi D.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
248,roma,Under C.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
249,roma,El Shaarawy S.,Tre,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
250,roma,Dzeko E.,Att,7.5,"
1		  ",-,-,-,-,1,-,10,2018-20,1
251,roma,Cristante B.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
252,roma,Kluivert J.,Tre,7,"
-		  ",1,-,-,-,-,-,8,2018-20,1
253,roma,Schick P.,Att,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
254,sampdoria,Belec V.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2018-20,1
255,sampdoria,Audero E.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2018-20,1
256,sampdoria,Rafael C.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2018-20,1
257,sampdoria,Bereszynski B.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
258,sampdoria,Colley O.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
259,sampdoria,Ferrari A.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
260,sampdoria,Tavares J.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
261,sampdoria,Leverbe M.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
262,sampdoria,Andersen J.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
263,sampdoria,Murru N.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
264,sampdoria,Sala J.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
265,sampdoria,Rolando G.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
266,sampdoria,Regini V.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
267,sampdoria,Tonelli L.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
268,sampdoria,Praet D.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
269,sampdoria,Ekdal A.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
270,sampdoria,Linetty K.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
271,sampdoria,Jankto J.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
272,sampdoria,Barreto E.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
273,sampdoria,Peeters D.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
274,sampdoria,Vieira R.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
275,sampdoria,Saponara R.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
276,sampdoria,Stijepovic O.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
277,sampdoria,Ramirez G.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
278,sampdoria,Kownacki D.,Att,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
279,sampdoria,Defrel G.,Att,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
280,sampdoria,Quagliarella F.,Att,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
281,sassuolo,Consigli A.,Por,6.5,"
		  			-
		  ",-,-,-,-,-,-,6.5,2018-20,1
